group,family,size,direction,depth,materialization,mode,implementation,samples,completed,timeouts,failures,planned_answers,definitive_answers,unknown_answers,resource_answers,facts_min,facts_max,definitive_coverage,wall_ms_q25,wall_ms_median,wall_ms_q75,peak_rss_kib_q25,peak_rss_kib_median,peak_rss_kib_q75,load_ms_q25,load_ms_median,load_ms_q75,query_ms_q25,query_ms_median,query_ms_q75,certificate_ms_q25,certificate_ms_median,certificate_ms_q75,withdrawal_ms_q25,withdrawal_ms_median,withdrawal_ms_q75,reassertion_ms_q25,reassertion_ms_median,reassertion_ms_q75,reopen_ms_q25,reopen_ms_median,reopen_ms_q75,bytes_q25,bytes_median,bytes_q75,steps_q25,steps_median,steps_q75,validation_ms_q25,validation_ms_median,validation_ms_q75,serialization_ms_q25,serialization_ms_median,serialization_ms_q75
bounds,policy,100,both,10,False,verdict,nibli,15,15,0,0,30,30,0,0,93,100,1.0,3382.4462624979788,3436.4757209987147,3460.383076500875,119248.0,120112.0,121276.0,40.3348905,41.91173,43.547328,3277.433367,3319.740448,3344.817932,,,,,,,,,,,,,,,,,,,,,,,,
bounds,policy,100,both,10,True,verdict,nibli,15,15,0,0,30,30,0,0,93,100,1.0,45.694807999097975,47.01744400153984,50.41379099839105,6436.0,6436.0,6564.0,41.5351835,42.168158999999996,46.368621000000005,0.33576000000000006,0.341368,0.36346100000000003,,,,,,,,,,,,,,,,,,,,,,,,
bounds,policy,100,both,20,False,verdict,nibli,15,15,0,0,30,30,0,0,93,100,1.0,3491.1685890001536,3588.768297002389,3684.44415599879,118734.0,121184.0,121756.0,40.3800495,43.784724,44.8554565,3397.2317414999998,3487.968836,3570.4506985,,,,,,,,,,,,,,,,,,,,,,,,
bounds,policy,100,both,20,True,verdict,nibli,15,15,0,0,30,30,0,0,93,100,1.0,43.80361050061765,46.88010200334247,47.9681545002677,6436.0,6436.0,6564.0,39.688608,42.729420999999995,43.327992,0.326764,0.34661,0.3567585,,,,,,,,,,,,,,,,,,,,,,,,
comparison,chain,4,backward,10,True,verdict,clingo,15,15,0,0,15,15,0,0,4,4,1.0,4.210929500004568,4.465386999072507,4.917026999464724,7756.0,7756.0,7884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparison,chain,4,backward,10,True,verdict,nibli,15,15,0,0,15,15,0,0,4,4,1.0,8.06119899971236,9.156386000540806,9.443157499845256,4644.0,4644.0,4644.0,0.2968075,0.321628,0.3526745,4.370378499999999,5.064354,5.318481500000001,,,,,,,,,,,,,,,,,,,,,,,,
comparison,chain,4,backward,10,True,verdict,souffle,15,15,0,0,15,15,0,0,4,4,1.0,4.185475500889879,4.345494999142829,4.7159540008578915,5692.0,5692.0,5692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparison,chain,4,forward,10,True,verdict,clingo,15,15,0,0,15,15,0,0,4,4,1.0,4.377004499474424,4.588828996929806,4.8345175000577,7756.0,7884.0,7884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparison,chain,4,forward,10,True,verdict,nibli,15,15,0,0,15,15,0,0,4,4,1.0,67.89768250018824,77.63053799862973,80.35340649985301,4900.0,4900.0,4900.0,0.3192625,0.32651600000000003,0.401305,63.94365199999999,73.929279,76.4587795,,,,,,,,,,,,,,,,,,,,,,,,
comparison,chain,4,forward,10,True,verdict,souffle,15,15,0,0,15,15,0,0,4,4,1.0,4.2129294997721445,4.346949001046596,5.187131500861142,5692.0,5692.0,5692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
